"","states","frequency","region"
"1","Alabama",48,"alabama"
"2","Arizona",48,"arizona"
"3","Arkansas",32,"arkansas"
"4","California",208,"california"
"5","Colorado",96,"colorado"
"6","Connecticut",24,"connecticut"
"7","Delaware",16,"delaware"
"8","Florida",112,"florida"
"9","Georgia",224,"georgia"
"10","Idaho",8,"idaho"
"11","Illinois",144,"illinois"
"12","Indiana",40,"indiana"
"13","Iowa",32,"iowa"
"14","Kansas",96,"kansas"
"15","Kentucky",56,"kentucky"
"16","Louisiana",24,"louisiana"
"17","Maine",8,"maine"
"18","Maryland",128,"maryland"
"19","Massachusetts",152,"massachusetts"
"20","Michigan",64,"michigan"
"21","Minnesota",72,"minnesota"
"22","Mississippi",8,"mississippi"
"23","Missouri",112,"missouri"
"24","Nebraska",16,"nebraska"
"25","Nevada",24,"nevada"
"26","New Jersey",112,"new jersey"
"27","New Mexico",8,"new mexico"
"28","New York",192,"new york"
"29","North Carolina",144,"north carolina"
"30","North Dakota",8,"north dakota"
"31","Ohio",192,"ohio"
"32","Oklahoma",16,"oklahoma"
"33","Oregon",32,"oregon"
"34","Pennsylvania",232,"pennsylvania"
"35","Puerto Rico",16,"puerto rico"
"36","Rhode Island",8,"rhode island"
"37","South Carolina",16,"south carolina"
"38","Tennessee",104,"tennessee"
"39","Texas",192,"texas"
"40","Utah",8,"utah"
"41","Virginia",120,"virginia"
"42","Washington",8,"washington"
"43","West Virginia",8,"west virginia"
"44","Wisconsin",64,"wisconsin"
