"","states","frequency","region"
"1","Alaska",1,"alaska"
"2","Arkansas",1,"arkansas"
"3","California",5,"california"
"4","Colorado",4,"colorado"
"5","Connecticut",2,"connecticut"
"6","Delaware",1,"delaware"
"7","Florida",8,"florida"
"8","Georgia",18,"georgia"
"9","Illinois",7,"illinois"
"10","Indiana",4,"indiana"
"11","Iowa",5,"iowa"
"12","Kansas",3,"kansas"
"13","Louisiana",1,"louisiana"
"14","Maryland",9,"maryland"
"15","Massachusetts",10,"massachusetts"
"16","Michigan",8,"michigan"
"17","Minnesota",3,"minnesota"
"18","Missouri",2,"missouri"
"19","Nebraska",2,"nebraska"
"20","Nevada",1,"nevada"
"21","New Jersey",6,"new jersey"
"22","New York",10,"new york"
"23","North Carolina",3,"north carolina"
"24","Ohio",14,"ohio"
"25","Oklahoma",2,"oklahoma"
"26","Oregon",1,"oregon"
"27","Pennsylvania",3,"pennsylvania"
"28","Rhode Island",1,"rhode island"
"29","South Carolina",5,"south carolina"
"30","South Dakota",1,"south dakota"
"31","Tennessee",4,"tennessee"
"32","Texas",3,"texas"
"33","Utah",3,"utah"
"34","Vermont",1,"vermont"
"35","Virginia",4,"virginia"
"36","Washington",1,"washington"
"37","Wisconsin",4,"wisconsin"
