"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LungAssociation: We want to celebrate the many women who lead research for #lunghealth. Dr. Seema Lakdawala is researching how indoor a…",FALSE,0,NA,2019-03-08 18:08:08,FALSE,NA,"1104081380353429512",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nolenje",1,TRUE,FALSE,NA,NA
"2","RT @HHSGov: New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The latest figu…",FALSE,0,NA,2019-03-08 18:07:44,FALSE,NA,"1104081280206073856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RIHEALTH",6,TRUE,FALSE,NA,NA
"3","RT @HHSGov: New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The latest figu…",FALSE,0,NA,2019-03-08 18:07:06,FALSE,NA,"1104081119350345730",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","GlobalPHObserv",6,TRUE,FALSE,NA,NA
"4","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-03-08 18:06:57,FALSE,NA,"1104081082100604929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LTHN_Bridget",7,TRUE,FALSE,NA,NA
"5","RT @HHSGov: New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The latest figu…",FALSE,0,NA,2019-03-08 18:05:25,FALSE,NA,"1104080694857383938",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HHSRegion10",6,TRUE,FALSE,NA,NA
"6","RT @HHSGov: New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The latest figu…",FALSE,0,NA,2019-03-08 18:03:33,FALSE,NA,"1104080225074323456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HHSRegion8",6,TRUE,FALSE,NA,NA
"7","RT @HHSGov: New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The latest figu…",FALSE,0,NA,2019-03-08 18:03:13,FALSE,NA,"1104080143465758725",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","equitylist",6,TRUE,FALSE,NA,NA
"8","RT @PowerLibrary: It's #flu season. Find out why the flu is so contagious with this #video and #ebook pair from TrueFLIX! https://t.co/5x9l…",FALSE,0,NA,2019-03-08 18:03:11,FALSE,NA,"1104080135458828288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SMSsoarStories",1,TRUE,FALSE,NA,NA
"9","We want to celebrate the many women who lead research for #lunghealth. Dr. Seema Lakdawala is researching how indoo… https://t.co/IzFt5WZfC1",FALSE,0,NA,2019-03-08 18:03:03,TRUE,NA,"1104080100952338432",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","LungAssociation",1,FALSE,FALSE,NA,NA
"10","Flu-like illness declined slightly to 4.7% of outpatient visits in week ended March 2, but remained more than doubl… https://t.co/RuX98WTbkH",FALSE,0,NA,2019-03-08 18:01:04,TRUE,NA,"1104079602320719872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HHSRegion7",0,FALSE,FALSE,NA,NA
"11","Gesundheit! Now 5 convenient locations. Hurley Urgent Care of Flint, Grand Blanc, Burton, Durand &amp; Lapeer… https://t.co/Y2nS6ZDwa6",FALSE,0,NA,2019-03-08 18:00:48,TRUE,NA,"1104079534587039746",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HurleyMedical",0,FALSE,FALSE,NA,NA
"12","RT @HHSGov: New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The latest figu…",FALSE,0,NA,2019-03-08 17:56:00,FALSE,NA,"1104078325281144832",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","foldfreenews",6,TRUE,FALSE,NA,NA
"13","New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The… https://t.co/aGZfWr9B4p",FALSE,1,NA,2019-03-08 17:54:43,TRUE,NA,"1104078004588826633",NA,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","HHSGov",6,FALSE,FALSE,NA,NA
"14","The #CDC flu map for Week 9 - ending March 2 - shows just a couple of states (Vermont and Hawaii) without widesprea… https://t.co/pvgO31TdEt",FALSE,0,NA,2019-03-08 17:52:55,TRUE,NA,"1104077549607534593",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MMCAP_Online",0,FALSE,FALSE,NA,NA
"15","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-03-08 17:52:32,FALSE,NA,"1104077452438065152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DamonGrovesReal",7,TRUE,FALSE,NA,NA
"16","RT @CDCFlu: #FluFactFriday: Flu vaccine not only protects you, but those around you. 

Protection from #flu is especially important for tho…",FALSE,0,NA,2019-03-08 17:51:18,FALSE,NA,"1104077144689389572",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ok_thej14leroux",11,TRUE,FALSE,NA,NA
"17","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-03-08 17:49:26,FALSE,NA,"1104076673023135746",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DinahQChon",7,TRUE,FALSE,NA,NA
"18","Hippocrates didn't have antibiotics so what did he use for #flu, aches and pains? #DrDeckerWeiss shares 3 natural r… https://t.co/3wjbODUmSp",FALSE,0,NA,2019-03-08 17:38:55,TRUE,NA,"1104074027377790976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PitchAmy",0,FALSE,FALSE,NA,NA
"19","RT @CDCFlu: #FluFactFriday: Flu vaccine not only protects you, but those around you. 

Protection from #flu is especially important for tho…",FALSE,0,NA,2019-03-08 17:35:24,FALSE,NA,"1104073140945195008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FelixSarconaIT",11,TRUE,FALSE,NA,NA
"20","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-03-08 17:31:15,FALSE,NA,"1104072097045843968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SeriousIda",7,TRUE,FALSE,NA,NA
"21","#Flu season isn’t over yet! Our latest #biomerieuxconnection article summarizes the @CDCgov Week 8 Influenza Survei… https://t.co/7hp8GRqaPP",FALSE,0,NA,2019-03-08 17:30:06,TRUE,NA,"1104071807282352129",NA,"<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","biomerieux_inc",0,FALSE,FALSE,NA,NA
"22","This #flu that is going around is for the birds.... https://t.co/kWlkB4Qmpp",FALSE,0,NA,2019-03-08 17:09:11,FALSE,NA,"1104066545549041664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JustinDLeader",0,FALSE,FALSE,NA,NA
"23","Used for more than 70 years and available in 50 countries, Oscillococcinum remains the overall best-selling #flu me… https://t.co/qtC7aSFWjp",FALSE,0,NA,2019-03-08 17:08:04,TRUE,NA,"1104066262714458112",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","OscilloUSA",0,FALSE,FALSE,NA,NA
"24","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-08 17:05:54,FALSE,NA,"1104065718289645568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sbdrysdale",6,TRUE,FALSE,NA,NA
"25",".@PAHealthDept: Sick with #flu? STAY HOME! Even if your illness is mild, you can still spread it to others. Avoid s… https://t.co/GMJEPfAsKQ",FALSE,0,NA,2019-03-08 17:00:02,TRUE,NA,"1104064240879452160",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SenatorBrewster",0,FALSE,FALSE,NA,NA
"26","RT @CDCFlu: #FluFactFriday: Flu vaccine not only protects you, but those around you. 

Protection from #flu is especially important for tho…",FALSE,0,NA,2019-03-08 16:56:48,FALSE,NA,"1104063427906076674",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AVACNow",11,TRUE,FALSE,NA,NA
"27","@Atul_Gawande The measles vaccine does cause autism according to CDC whistleblower Dr. William Thompson who reveale… https://t.co/1eIKh2U4pJ",FALSE,0,"Atul_Gawande",2019-03-08 16:56:01,TRUE,"1103132755163004933","1104063229507063808","233364902","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoercedTaxSlave",0,FALSE,FALSE,NA,NA
"28","RT @NFIDvaccines: #FluFactFriday: Adults with chronic health conditions are at high risk for complications from #flu, including permanent p…",FALSE,0,NA,2019-03-08 16:56:00,FALSE,NA,"1104063226722041856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AVACNow",3,TRUE,FALSE,NA,NA
"29","RT @sickweather: For more than a decade now, two scientists have been trying to create a deadly human pathogen from avian influenza. That's…",FALSE,0,NA,2019-03-08 16:47:15,FALSE,NA,"1104061025488297984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","StoutStreetVC",1,TRUE,FALSE,NA,NA
"30",".@UWMadison scientist will resume #flu #research @FluGenInc https://t.co/riy4859U2G via @WiStateJournal",FALSE,0,NA,2019-03-08 16:40:12,FALSE,NA,"1104059252358987777",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","UWMadisonURP",0,FALSE,FALSE,NA,NA
"31","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-08 16:38:47,FALSE,NA,"1104058894899273728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aiubsharif1",6,TRUE,FALSE,NA,NA
"32","North Jersey toddler is second child to die of #flu in NJ this season https://t.co/YANrlqe9se",FALSE,0,NA,2019-03-08 16:30:41,FALSE,NA,"1104056854429253632",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","SterileSpace",0,FALSE,FALSE,NA,NA
"33","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-08 16:27:07,FALSE,NA,"1104055959465443328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dferhadian",6,TRUE,FALSE,NA,NA
"34","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-03-08 16:22:46,FALSE,NA,"1104054864391356416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PenceDr",7,TRUE,FALSE,NA,NA
"35","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-03-08 16:16:35,FALSE,NA,"1104053305955753985",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KhronosCryptos",7,TRUE,FALSE,NA,NA
"36","RT @MOH_TT: Don’t spread the #flu, don’t get the flu! Wash your hands with soap and water regularly. If soap isn’t available, use an alcoho…",FALSE,0,NA,2019-03-08 16:12:21,FALSE,NA,"1104052242368192512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","newsgovtt",2,TRUE,FALSE,NA,NA
"37","@ematisa @patrokhlus The measles vaccine might not even work. Merck used sheeps blood and then fraudulent data, to… https://t.co/QLtGICzNPR",FALSE,0,"CoercedTaxSlave",2019-03-08 16:03:13,TRUE,"1104048962162647040","1104049943231299590","32517621","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoercedTaxSlave",0,FALSE,FALSE,NA,NA
"38","RT @MOH_TT: Don’t spread the #flu, don’t get the flu! Wash your hands with soap and water regularly. If soap isn’t available, use an alcoho…",FALSE,0,NA,2019-03-08 15:59:52,FALSE,NA,"1104049099001733122",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SherazKhanTT",2,TRUE,FALSE,NA,NA
"39","Don’t spread the #flu, don’t get the flu! Wash your hands with soap and water regularly. If soap isn’t available, u… https://t.co/MeVjNO9mAp",FALSE,1,NA,2019-03-08 15:57:03,TRUE,NA,"1104048391447822337",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","MOH_TT",2,FALSE,FALSE,NA,NA
