WEEK,Year2017_18,Year2016_17,Year2015_16,Year2014_15,Year2011_12,Year2009_10,National Baseline,Year2018_19
40,1.26589,1.2019,1.22559,1.16191,1.16092,6.06923,2.2,1.40949
41,1.30479,1.23108,1.31066,1.30905,1.19785,7.09467,2.2,1.39847
42,1.34075,1.26796,1.3711,1.37072,1.27926,7.7151,2.2,1.4599
43,1.51674,1.36298,1.39171,1.43373,1.29194,7.55134,2.2,1.62574
44,1.74583,1.48535,1.43712,1.42791,1.42824,6.67118,2.2,1.77737
45,1.88708,1.55954,1.50165,1.61605,1.39803,5.20633,2.2,1.86197
46,2.05923,1.64783,1.59805,1.65976,1.45831,4.04477,2.2,1.98997
47,2.27971,1.91275,1.89668,2.05459,1.56548,3.49722,2.2,2.24908
48,2.28379,1.81725,1.67728,2.53541,1.34313,2.69023,2.2,2.14619
49,2.58278,1.91433,1.78296,2.54253,1.48139,2.47119,2.2,2.26486
50,3.36558,2.21003,1.87336,3.60563,1.63398,2.44773,2.2,2.64709
51,4.73117,2.73568,2.32148,4.90976,1.83126,2.64594,2.2,3.16916
52,5.70943,3.36832,2.40991,5.98221,2.10451,2.61567,2.2,3.98057
1,5.74658,3.09689,1.94328,4.21374,1.73625,1.90712,2.2,3.46999
2,5.89207,3.07346,1.99796,4.21022,1.55066,1.86738,2.2,3.10694
3,6.51759,3.51643,2.11829,4.25968,1.62891,1.88072,2.2,3.32002
4,7.16338,3.8027,2.25112,3.97761,1.76038,1.96908,2.2,3.76813
5,7.52133,4.50313,2.37116,3.63443,1.92728,2.11387,2.2,4.2863
6,7.38748,5.06308,2.80035,3.26527,1.91994,2.09695,2.2,4.78879
7,6.44688,4.86009,3.16475,2.93083,2.09951,1.90294,2.2,5.05653
8,4.95881,4.57916,3.15183,2.54474,2.23973,1.96951,2.2,
9,3.68612,3.55674,3.3321,2.47227,2.21921,1.92331,2.2,
10,3.18626,3.50417,3.56024,2.35665,2.16693,1.89659,2.2,
11,2.76894,3.21511,3.05479,2.17008,2.38913,1.75181,2.2,
12,2.48706,3.10088,2.76732,2.04297,1.96466,1.52632,2.2,
13,2.40802,2.79056,2.44161,1.954,1.84229,1.49572,2.2,
14,2.07483,2.38547,2.03348,1.72287,1.68674,1.22313,2.2,
15,1.77898,1.9703,1.98593,1.53694,1.53136,1.17754,2.2,
16,1.61487,1.73442,1.91514,1.38283,1.37912,1.09112,2.2,
17,1.5385,1.56303,1.69968,1.46265,1.29515,1.11958,2.2,
18,1.52612,1.4128,1.57635,1.38934,1.39521,1.08169,2.2,
19,1.28847,1.27492,1.3935,1.3468,1.32522,1.12497,2.2,
20,1.18344,1.2834,1.29941,1.25452,1.23059,1.06197,2.2,
21,1.24919,1.16663,1.18379,1.21636,1.23028,1.08909,2.2,
22,1.14131,1.10977,1.13723,1.16734,1.26877,1.1776,2.2,
23,0.9878,1.04333,1.04118,1.04654,1.10782,0.97493,2.2,
24,0.895565,0.905151,0.971814,0.943661,1.09559,0.987132,2.2,
25,0.892204,0.902718,0.863306,0.935046,1.11031,0.995991,2.2,
26,0.877184,0.859531,0.833797,0.934726,1.10616,0.904726,2.2,
27,0.780203,0.818998,0.784516,0.864118,1.10816,0.941927,2.2,
28,0.725075,0.752505,0.734327,0.806535,0.999444,0.880415,2.2,
29,0.68247,0.731146,0.698845,0.742747,0.924199,0.842615,2.2,
30,0.640393,0.733295,0.723099,0.737859,0.949257,0.858382,2.2,
31,0.639127,0.73102,0.663501,0.743224,0.978903,0.83383,2.2,
32,0.705637,0.68834,0.69276,0.805251,0.925024,0.847437,2.2,
33,0.707801,0.732049,0.710029,0.816943,0.848456,0.888273,2.2,
34,0.822659,0.911188,0.834232,0.814518,1.04451,0.765372,2.2,
35,0.859864,1.02105,0.992621,0.86067,1.0986,0.91858,2.2,
36,1.10083,1.09495,1.01605,0.886704,1.22071,1.01432,2.2,
37,1.15323,1.09475,1.07169,1.00845,1.24976,1.01233,2.2,
38,1.20178,1.09775,1.10163,1.06625,1.22892,1.11803,2.2,
39,1.2498,1.18882,1.18841,1.05995,1.29393,1.11806,2.2,
