YEAR,WEEK,TOTAL SPECIMENS,COUNT,TYPE,PERCENT POSITIVE,PERCENT A,PERCENT B,YEARWEEK,
2018,40,16492,218,A,1.74024,1.32185,0.418385,201840,
2018,40,16492,69,B,1.74024,1.32185,0.418385,201840,
2018,41,17980,222,A,1.68521,1.23471,0.450501,201841,
2018,41,17980,81,B,1.68521,1.23471,0.450501,201841,
2018,42,20128,311,A,1.98728,1.54511,0.44217,201842,
2018,42,20128,89,B,1.98728,1.54511,0.44217,201842,
2018,43,21302,337,A,2.04206,1.58201,0.460051,201843,
2018,43,21302,98,B,2.04206,1.58201,0.460051,201843,
2018,44,22281,389,A,2.18572,1.74588,0.439837,201844,
2018,44,22281,98,B,2.18572,1.74588,0.439837,201844,
2018,45,23304,543,A,2.73773,2.33007,0.407655,201845,
2018,45,23304,95,B,2.73773,2.33007,0.407655,201845,
2018,46,24288,667,A,3.15382,2.74621,0.407609,201846,
2018,46,24288,99,B,3.15382,2.74621,0.407609,201846,
2018,47,24511,893,A,3.93701,3.64326,0.293746,201847,
2018,47,24511,72,B,3.93701,3.64326,0.293746,201847,
2018,48,28063,998,A,3.92332,3.55628,0.367031,201848,
2018,48,28063,103,B,3.92332,3.55628,0.367031,201848,
2018,49,28835,1658,A,6.25975,5.74996,0.509797,201849,
2018,49,28835,147,B,6.25975,5.74996,0.509797,201849,
2018,50,32892,3235,A,10.4068,9.83522,0.571568,201850,
2018,50,32892,188,B,10.4068,9.83522,0.571568,201850,
2018,51,38138,5282,A,14.3191,13.8497,0.469348,201851,
2018,51,38138,179,B,14.3191,13.8497,0.469348,201851,
2018,52,43057,6835,A,16.4108,15.8743,0.536498,201852,
2018,52,43057,231,B,16.4108,15.8743,0.536498,201852,
2019,1,43952,5212,A,12.1655,11.8584,0.307153,201901,
2019,1,43952,135,B,12.1655,11.8584,0.307153,201901,
2019,2,39808,4835,A,12.6583,12.1458,0.51246,201902,
2019,2,39808,204,B,12.6583,12.1458,0.51246,201902,
2019,3,40025,6310,A,16.1799,15.7651,0.414741,201903,
2019,3,40025,166,B,16.1799,15.7651,0.414741,201903,
2019,4,40975,7703,A,19.3459,18.7993,0.546675,201904,
2019,4,40975,224,B,19.3459,18.7993,0.546675,201904,
2019,5,42898,9519,A,22.7633,22.1898,0.573453,201905,
2019,5,42898,246,B,22.7633,22.1898,0.573453,201905,
2019,6,38350,9218,A,24.5841,24.0365,0.547588,201906,
2019,6,38350,210,B,24.5841,24.0365,0.547588,201906,
2019,7,0,0,A,0,0,0,201907,
2019,7,0,0,B,0,0,0,201907,
2019,8,0,0,A,0,0,0,201908,
2019,8,0,0,B,0,0,0,201908,
2019,9,0,0,A,0,0,0,201909,
2019,9,0,0,B,0,0,0,201909,
2019,10,0,0,A,0,0,0,201910,
2019,10,0,0,B,0,0,0,201910,
2019,11,0,0,A,0,0,0,201911,
2019,11,0,0,B,0,0,0,201911,
2019,12,0,0,A,0,0,0,201912,
2019,12,0,0,B,0,0,0,201912,
2019,13,0,0,A,0,0,0,201913,
2019,13,0,0,B,0,0,0,201913,
2019,14,0,0,A,0,0,0,201914,
2019,14,0,0,B,0,0,0,201914,
2019,15,0,0,A,0,0,0,201915,
2019,15,0,0,B,0,0,0,201915,
2019,16,0,0,A,0,0,0,201916,
2019,16,0,0,B,0,0,0,201916,
2019,17,0,0,A,0,0,0,201917,
2019,17,0,0,B,0,0,0,201917,
2019,18,0,0,A,0,0,0,201918,
2019,18,0,0,B,0,0,0,201918,
2019,18,0,0,A,0,0,0,201919,
2019,18,0,0,B,0,0,0,201919,
