YEAR,WEEK,TOTAL SPECIMENS,TYPE,COUNT,PERCENT POSITIVE,PERCENT A,PERCENT B,YEARWEEK
2018,1,61316,A,13018,25.3653,21.231,4.13432,201801
2018,1,61316,B,2535,25.3653,21.231,4.13432,201801
2018,2,68276,A,15149,26.9421,22.1879,4.75423,201802
2018,2,68276,B,3246,26.9421,22.1879,4.75423,201802
2018,3,69124,A,14782,27.034,21.3848,5.64927,201803
2018,3,69124,B,3905,27.034,21.3848,5.64927,201803
2018,4,80322,A,16634,27.3698,20.7091,6.66069,201804
2018,4,80322,B,5350,27.3698,20.7091,6.66069,201804
2018,5,81687,A,15193,27.0643,18.599,8.46524,201805
2018,5,81687,B,6915,27.0643,18.599,8.46524,201805
2018,6,81391,A,14116,26.9981,17.3434,9.65463,201806
2018,6,81391,B,7858,26.9981,17.3434,9.65463,201806
2018,7,74973,A,11371,26.1174,15.1668,10.9506,201807
2018,7,74973,B,8210,26.1174,15.1668,10.9506,201807
2018,8,60034,A,7177,22.6155,11.9549,10.6606,201808
2018,8,60034,B,6400,22.6155,11.9549,10.6606,201808
2018,9,48489,A,4405,18.4867,9.08453,9.40213,201809
2018,9,48489,B,4559,18.4867,9.08453,9.40213,201809
2018,10,40978,A,2897,15.6938,7.06965,8.62414,201810
2018,10,40978,B,3534,15.6938,7.06965,8.62414,201810
2018,11,36794,A,2349,15.5813,6.38419,9.19715,201811
2018,11,36794,B,3384,15.5813,6.38419,9.19715,201811
2018,12,33442,A,2023,15.328,6.04928,9.27875,201812
2018,12,33442,B,3103,15.328,6.04928,9.27875,201812
2018,13,30668,A,1708,15.1135,5.56932,9.54415,201813
2018,13,30668,B,2927,15.1135,5.56932,9.54415,201813
2018,14,27339,A,1132,12.6888,4.1406,8.54823,201814
2018,14,27339,B,2337,12.6888,4.1406,8.54823,201814
2018,15,25052,A,901,11.2486,3.59652,7.65208,201815
2018,15,25052,B,1917,11.2486,3.59652,7.65208,201815
2018,16,21483,A,595,9.39813,2.76963,6.6285,201816
2018,16,21483,B,1424,9.39813,2.76963,6.6285,201816
2018,17,19328,A,472,7.99876,2.44205,5.55671,201817
2018,17,19328,B,1074,7.99876,2.44205,5.55671,201817
2018,18,17095,A,346,6.25914,2.02398,4.23516,201818
2018,18,17095,B,724,6.25914,2.02398,4.23516,201818
2018,19,14978,A,191,4.39311,1.2752,3.11791,201819
2018,19,14978,B,467,4.39311,1.2752,3.11791,201819
2018,20,13013,A,176,3.16606,1.35249,1.81357,201820
2018,20,13013,B,236,3.16606,1.35249,1.81357,201820
2018,21,11799,A,119,2.39003,1.00856,1.38147,201821
2018,21,11799,B,163,2.39003,1.00856,1.38147,201821
2018,22,10789,A,76,1.52934,0.704421,0.824914,201822
2018,22,10789,B,89,1.52934,0.704421,0.824914,201822
2018,23,9703,A,73,1.57683,0.752345,0.824487,201823
2018,23,9703,B,80,1.57683,0.752345,0.824487,201823
2018,24,8929,A,51,1.29914,0.571173,0.727965,201824
2018,24,8929,B,65,1.29914,0.571173,0.727965,201824
2018,25,8502,A,49,1.02329,0.576335,0.446954,201825
2018,25,8502,B,38,1.02329,0.576335,0.446954,201825
2018,26,7723,A,57,1.11356,0.738055,0.375502,201826
2018,26,7723,B,29,1.11356,0.738055,0.375502,201826
2018,27,6879,A,44,1.00305,0.639628,0.363425,201827
2018,27,6879,B,25,1.00305,0.639628,0.363425,201827
2018,28,6986,A,51,0.916118,0.730031,0.186086,201828
2018,28,6986,B,13,0.916118,0.730031,0.186086,201828
2018,29,6835,A,57,1.0534,0.833943,0.219459,201829
2018,29,6835,B,15,1.0534,0.833943,0.219459,201829
2018,30,6733,A,48,0.995099,0.712907,0.282192,201830
2018,30,6733,B,19,0.995099,0.712907,0.282192,201830
2018,31,6292,A,43,0.953592,0.683408,0.270184,201831
2018,31,6292,B,17,0.953592,0.683408,0.270184,201831
2018,32,6790,A,43,0.95729,0.633284,0.324006,201832
2018,32,6790,B,22,0.95729,0.633284,0.324006,201832
2018,33,7065,A,36,0.764331,0.509554,0.254777,201833
2018,33,7065,B,18,0.764331,0.509554,0.254777,201833
2018,34,7783,A,77,1.33625,0.989336,0.34691,201834
2018,34,7783,B,27,1.33625,0.989336,0.34691,201834
2018,35,8712,A,98,1.50367,1.12489,0.378788,201835
2018,35,8712,B,33,1.50367,1.12489,0.378788,201835
2018,36,9786,A,119,1.74739,1.21602,0.531371,201836
2018,36,9786,B,52,1.74739,1.21602,0.531371,201836
2018,37,12030,A,155,1.68745,1.28845,0.399002,201837
2018,37,12030,B,48,1.68745,1.28845,0.399002,201837
2018,38,13182,A,158,1.69929,1.1986,0.500683,201838
2018,38,13182,B,66,1.69929,1.1986,0.500683,201838
2018,39,14763,A,169,1.49699,1.14475,0.352232,201839
2018,39,14763,B,52,1.49699,1.14475,0.352232,201839
2018,40,16492,A,218,1.74024,1.32185,0.418385,201840
2018,40,16492,B,69,1.74024,1.32185,0.418385,201840
2018,41,17980,A,222,1.68521,1.23471,0.450501,201841
2018,41,17980,B,81,1.68521,1.23471,0.450501,201841
2018,42,20128,A,311,1.98728,1.54511,0.44217,201842
2018,42,20128,B,89,1.98728,1.54511,0.44217,201842
2018,43,21302,A,337,2.04206,1.58201,0.460051,201843
2018,43,21302,B,98,2.04206,1.58201,0.460051,201843
2018,44,22281,A,389,2.18572,1.74588,0.439837,201844
2018,44,22281,B,98,2.18572,1.74588,0.439837,201844
2018,45,23304,A,543,2.73773,2.33007,0.407655,201845
2018,45,23304,B,95,2.73773,2.33007,0.407655,201845
2018,46,24288,A,667,3.15382,2.74621,0.407609,201846
2018,46,24288,B,99,3.15382,2.74621,0.407609,201846
2018,47,24511,A,893,3.93701,3.64326,0.293746,201847
2018,47,24511,B,72,3.93701,3.64326,0.293746,201847
2018,48,28063,A,998,3.92332,3.55628,0.367031,201848
2018,48,28063,B,103,3.92332,3.55628,0.367031,201848
2018,49,28835,A,1658,6.25975,5.74996,0.509797,201849
2018,49,28835,B,147,6.25975,5.74996,0.509797,201849
2018,50,32892,A,3235,10.4068,9.83522,0.571568,201850
2018,50,32892,B,188,10.4068,9.83522,0.571568,201850
2018,51,38138,A,5282,14.3191,13.8497,0.469348,201851
2018,51,38138,B,179,14.3191,13.8497,0.469348,201851
2018,52,43057,A,6835,16.4108,15.8743,0.536498,201852
2018,52,43057,B,231,16.4108,15.8743,0.536498,201852
2019,1,0,A,0,0,0,0,201901
2019,1,0,B,0,0,0,0,201901
2019,2,0,A,0,0,0,0,201902
2019,2,0,B,0,0,0,0,201902
2019,3,0,A,0,0,0,0,201903
2019,3,0,B,0,0,0,0,201903
2019,4,0,A,0,0,0,0,201904
2019,4,0,B,0,0,0,0,201904
2019,5,0,A,0,0,0,0,201905
2019,5,0,B,0,0,0,0,201905
2019,6,0,A,0,0,0,0,201906
2019,6,0,B,0,0,0,0,201906
2019,7,0,A,0,0,0,0,201907
2019,7,0,B,0,0,0,0,201907
2019,8,0,A,0,0,0,0,201908
2019,8,0,B,0,0,0,0,201908
2019,9,0,A,0,0,0,0,201909
2019,9,0,B,0,0,0,0,201909
2019,10,0,A,0,0,0,0,201910
2019,10,0,B,0,0,0,0,201910
2019,11,0,A,0,0,0,0,201911
2019,11,0,B,0,0,0,0,201911
2019,12,0,A,0,0,0,0,201912
2019,12,0,B,0,0,0,0,201912
