YEAR,WEEK,TOTAL SPECIMENS,TYPE,COUNT,PERCENT POSITIVE,PERCENT A,PERCENT B,YEARWEEK
2018,1,3855,A,498,18.75,12.92,5.84,201801
2018,1,3855,B,225,18.75,12.92,5.84,201801
2018,2,4566,A,739,22.12,16.18,5.94,201802
2018,2,4566,B,271,22.12,16.18,5.94,201802
2018,3,4617,A,793,25.38,17.18,8.21,201803
2018,3,4617,B,379,25.38,17.18,8.21,201803
2018,4,6354,A,1242,30.5,19.55,10.95,201804
2018,4,6354,B,696,30.5,19.55,10.95,201804
2018,5,7177,A,1398,31.31,19.48,11.83,201805
2018,5,7177,B,849,31.31,19.48,11.83,201805
2018,6,7517,A,1513,32.81,20.13,12.68,201806
2018,6,7517,B,953,32.81,20.13,12.68,201806
2018,7,7883,A,1457,31.98,18.48,13.5,201807
2018,7,7883,B,1064,31.98,18.48,13.5,201807
2018,8,5760,A,830,27.29,14.41,12.88,201808
2018,8,5760,B,742,27.29,14.41,12.88,201808
2018,9,4155,A,396,18.48,9.53,8.95,201809
2018,9,4155,B,372,18.48,9.53,8.95,201809
2018,10,3448,A,234,13.57,6.79,6.79,201810
2018,10,3448,B,234,13.57,6.79,6.79,201810
2018,11,3088,A,179,12.6,5.8,6.8,201811
2018,11,3088,B,210,12.6,5.8,6.8,201811
2018,12,2861,A,180,12.58,6.29,6.29,201812
2018,12,2861,B,180,12.58,6.29,6.29,201812
2018,13,2759,A,221,15.69,8.01,7.68,201813
2018,13,2759,B,212,15.69,8.01,7.68,201813
2018,14,2165,A,167,15.43,7.71,7.71,201814
2018,14,2165,B,167,15.43,7.71,7.71,201814
2018,15,2032,A,111,10.43,5.46,4.97,201815
2018,15,2032,B,101,10.43,5.46,4.97,201815
2018,16,1916,A,111,9.24,5.79,3.44,201816
2018,16,1916,B,66,9.24,5.79,3.44,201816
2018,17,1728,A,76,8.33,4.4,3.94,201817
2018,17,1728,B,68,8.33,4.4,3.94,201817
