WEEK NUMBER,NO_OF_DEATHS ,WEEK,COUNT,,,
2015-40,0,PREVIOUS WEEK DEATHS,0,,,
2015-40,0,CURRENT WEEK DEATHS,0,,,
2015-41,0,PREVIOUS WEEK DEATHS,0,,,
2015-41,0,CURRENT WEEK DEATHS,0,,,
2015-42,0,PREVIOUS WEEK DEATHS,0,,,
2015-42,0,CURRENT WEEK DEATHS,0,,,
2015-43,0,PREVIOUS WEEK DEATHS,0,,,
2015-43,0,CURRENT WEEK DEATHS,0,,,
2015-44,2,PREVIOUS WEEK DEATHS,2,,,
2015-44,2,CURRENT WEEK DEATHS,0,,,
2015-45,0,PREVIOUS WEEK DEATHS,0,,,
2015-45,0,CURRENT WEEK DEATHS,0,,,
2015-46,0,PREVIOUS WEEK DEATHS,0,,,
2015-46,0,CURRENT WEEK DEATHS,0,,,
2015-47,0,PREVIOUS WEEK DEATHS,0,,,
2015-47,0,CURRENT WEEK DEATHS,0,,,
2015-48,2,PREVIOUS WEEK DEATHS,2,,,
2015-48,2,CURRENT WEEK DEATHS,0,,,
2015-49,1,PREVIOUS WEEK DEATHS,1,,,
2015-49,1,CURRENT WEEK DEATHS,0,,,
2015-50,1,PREVIOUS WEEK DEATHS,1,,,
2015-50,1,CURRENT WEEK DEATHS,0,,,
2015-51,1,PREVIOUS WEEK DEATHS,1,,,
2015-51,1,CURRENT WEEK DEATHS,0,,,
2015-52,1,PREVIOUS WEEK DEATHS,1,,,
2015-52,1,CURRENT WEEK DEATHS,0,,,
2016-01,0,PREVIOUS WEEK DEATHS,0,,,
2016-01,0,CURRENT WEEK DEATHS,0,,,
2016-02,2,PREVIOUS WEEK DEATHS,2,,,
2016-02,2,CURRENT WEEK DEATHS,0,,,
2016-03,0,PREVIOUS WEEK DEATHS,0,,,
2016-03,0,CURRENT WEEK DEATHS,0,,,
2016-04,3,PREVIOUS WEEK DEATHS,3,,,
2016-04,3,CURRENT WEEK DEATHS,0,,,
2016-05,1,PREVIOUS WEEK DEATHS,1,,,
2016-05,1,CURRENT WEEK DEATHS,0,,,
2016-06,2,PREVIOUS WEEK DEATHS,2,,,
2016-06,2,CURRENT WEEK DEATHS,0,,,
2016-07,5,PREVIOUS WEEK DEATHS,5,,,
2016-07,5,CURRENT WEEK DEATHS,0,,,
2016-08,8,PREVIOUS WEEK DEATHS,8,,,
2016-08,8,CURRENT WEEK DEATHS,0,,,
2016-09,6,PREVIOUS WEEK DEATHS,6,,,
2016-09,6,CURRENT WEEK DEATHS,0,,,
2016-10,4,PREVIOUS WEEK DEATHS,4,,,
2016-10,4,CURRENT WEEK DEATHS,0,,,
2016-11,9,PREVIOUS WEEK DEATHS,9,,,
2016-11,9,CURRENT WEEK DEATHS,0,,,
2016-12,8,PREVIOUS WEEK DEATHS,8,,,
2016-12,8,CURRENT WEEK DEATHS,0,,,
2016-13,11,PREVIOUS WEEK DEATHS,11,,,
2016-13,11,CURRENT WEEK DEATHS,0,,,
2016-14,9,PREVIOUS WEEK DEATHS,9,,,
2016-14,9,CURRENT WEEK DEATHS,0,,,
2016-15,4,PREVIOUS WEEK DEATHS,4,,,
2016-15,4,CURRENT WEEK DEATHS,0,,,
2016-16,1,PREVIOUS WEEK DEATHS,1,,,
2016-16,1,CURRENT WEEK DEATHS,0,,,
2016-17,2,PREVIOUS WEEK DEATHS,2,,,
2016-17,2,CURRENT WEEK DEATHS,0,,,
2016-18,1,PREVIOUS WEEK DEATHS,1,,,
2016-18,1,CURRENT WEEK DEATHS,0,,,
2016-19,3,PREVIOUS WEEK DEATHS,3,,,
2016-19,3,CURRENT WEEK DEATHS,0,,,
2016-20,0,PREVIOUS WEEK DEATHS,0,,,
2016-20,0,CURRENT WEEK DEATHS,0,,,
2016-21,2,PREVIOUS WEEK DEATHS,2,,,
2016-21,2,CURRENT WEEK DEATHS,0,,,
2016-22,1,PREVIOUS WEEK DEATHS,1,,,
2016-22,1,CURRENT WEEK DEATHS,0,,,
2016-23,1,PREVIOUS WEEK DEATHS,1,,,
2016-23,1,CURRENT WEEK DEATHS,0,,,
2016-24,0,PREVIOUS WEEK DEATHS,0,,,
2016-24,0,CURRENT WEEK DEATHS,0,,,
2016-25,1,PREVIOUS WEEK DEATHS,1,,,
2016-25,1,CURRENT WEEK DEATHS,0,,,
2016-26,0,PREVIOUS WEEK DEATHS,0,,,
2016-26,0,CURRENT WEEK DEATHS,0,,,
2016-27,1,PREVIOUS WEEK DEATHS,1,,,
2016-27,1,CURRENT WEEK DEATHS,0,,,
2016-28,1,PREVIOUS WEEK DEATHS,1,,,
2016-28,1,CURRENT WEEK DEATHS,0,,,
2016-29,0,PREVIOUS WEEK DEATHS,0,,,
2016-29,0,CURRENT WEEK DEATHS,0,,,
2016-30,0,PREVIOUS WEEK DEATHS,0,,,
2016-30,0,CURRENT WEEK DEATHS,0,,,
2016-31,0,PREVIOUS WEEK DEATHS,0,,,
2016-31,0,CURRENT WEEK DEATHS,0,,,
2016-32,0,PREVIOUS WEEK DEATHS,0,,,
2016-32,0,CURRENT WEEK DEATHS,0,,,
2016-33,0,PREVIOUS WEEK DEATHS,0,,,
2016-33,0,CURRENT WEEK DEATHS,0,,,
2016-34,0,PREVIOUS WEEK DEATHS,0,,,
2016-34,0,CURRENT WEEK DEATHS,0,,,
2016-35,0,PREVIOUS WEEK DEATHS,0,,,
2016-35,0,CURRENT WEEK DEATHS,0,,,
2016-36,0,PREVIOUS WEEK DEATHS,0,,,
2016-36,0,CURRENT WEEK DEATHS,0,,,
2016-37,0,PREVIOUS WEEK DEATHS,0,,,
2016-37,0,CURRENT WEEK DEATHS,0,,,
2016-38,0,PREVIOUS WEEK DEATHS,0,,,
2016-38,0,CURRENT WEEK DEATHS,0,,,
2016-39,0,PREVIOUS WEEK DEATHS,0,,,
2016-39,0,CURRENT WEEK DEATHS,0,,,
2016-40,0,PREVIOUS WEEK DEATHS,0,,,
2016-40,0,CURRENT WEEK DEATHS,0,,,
2016-41,0,PREVIOUS WEEK DEATHS,0,,,
2016-41,0,CURRENT WEEK DEATHS,0,,,
2016-42,0,PREVIOUS WEEK DEATHS,0,,,
2016-42,0,CURRENT WEEK DEATHS,0,,,
2016-43,0,PREVIOUS WEEK DEATHS,0,,,
2016-43,0,CURRENT WEEK DEATHS,0,,,
2016-44,0,PREVIOUS WEEK DEATHS,0,,,
2016-44,0,CURRENT WEEK DEATHS,0,,,
2016-45,0,PREVIOUS WEEK DEATHS,0,,,
2016-45,0,CURRENT WEEK DEATHS,0,,,
2016-46,0,PREVIOUS WEEK DEATHS,0,,,
2016-46,0,CURRENT WEEK DEATHS,0,,,
2016-47,0,PREVIOUS WEEK DEATHS,0,,,
2016-47,0,CURRENT WEEK DEATHS,0,,,
2016-48,1,PREVIOUS WEEK DEATHS,1,,,
2016-48,1,CURRENT WEEK DEATHS,0,,,
2016-49,1,PREVIOUS WEEK DEATHS,1,,,
2016-49,1,CURRENT WEEK DEATHS,0,,,
2016-50,1,PREVIOUS WEEK DEATHS,1,,,
2016-50,1,CURRENT WEEK DEATHS,0,,,
2016-51,4,PREVIOUS WEEK DEATHS,4,,,
2016-51,4,CURRENT WEEK DEATHS,0,,,
2016-52,1,PREVIOUS WEEK DEATHS,1,,,
2016-52,1,CURRENT WEEK DEATHS,0,,,
2017-01,5,PREVIOUS WEEK DEATHS,5,,,
2017-01,5,CURRENT WEEK DEATHS,0,,,
2017-02,4,PREVIOUS WEEK DEATHS,4,,,
2017-02,4,CURRENT WEEK DEATHS,0,,,
2017-03,4,PREVIOUS WEEK DEATHS,4,,,
2017-03,4,CURRENT WEEK DEATHS,0,,,
2017-04,9,PREVIOUS WEEK DEATHS,9,,,
2017-04,9,CURRENT WEEK DEATHS,0,,,
2017-05,5,PREVIOUS WEEK DEATHS,5,,,
2017-05,5,CURRENT WEEK DEATHS,0,,,
2017-06,8,PREVIOUS WEEK DEATHS,8,,,
2017-06,8,CURRENT WEEK DEATHS,0,,,
2017-07,12,PREVIOUS WEEK DEATHS,12,,,
2017-07,12,CURRENT WEEK DEATHS,0,,,
2017-08,11,PREVIOUS WEEK DEATHS,11,,,
2017-08,11,CURRENT WEEK DEATHS,0,,,
2017-09,1,PREVIOUS WEEK DEATHS,1,,,
2017-09,1,CURRENT WEEK DEATHS,0,,,
2017-10,4,PREVIOUS WEEK DEATHS,4,,,
2017-10,4,CURRENT WEEK DEATHS,0,,,
2017-11,5,PREVIOUS WEEK DEATHS,5,,,
2017-11,5,CURRENT WEEK DEATHS,0,,,
2017-12,3,PREVIOUS WEEK DEATHS,3,,,
2017-12,3,CURRENT WEEK DEATHS,0,,,
2017-13,3,PREVIOUS WEEK DEATHS,3,,,
2017-13,3,CURRENT WEEK DEATHS,0,,,
2017-14,5,PREVIOUS WEEK DEATHS,5,,,
2017-14,5,CURRENT WEEK DEATHS,0,,,
2017-15,10,PREVIOUS WEEK DEATHS,10,,,
2017-15,10,CURRENT WEEK DEATHS,0,,,
2017-16,3,PREVIOUS WEEK DEATHS,3,,,
2017-16,3,CURRENT WEEK DEATHS,0,,,
2017-17,3,PREVIOUS WEEK DEATHS,3,,,
2017-17,3,CURRENT WEEK DEATHS,0,,,
2017-18,1,PREVIOUS WEEK DEATHS,1,,,
2017-18,1,CURRENT WEEK DEATHS,0,,,
2017-19,0,PREVIOUS WEEK DEATHS,0,,,
2017-19,0,CURRENT WEEK DEATHS,0,,,
2017-20,1,PREVIOUS WEEK DEATHS,1,,,
2017-20,1,CURRENT WEEK DEATHS,0,,,
2017-21,2,PREVIOUS WEEK DEATHS,2,,,
2017-21,2,CURRENT WEEK DEATHS,0,,,
2017-22,0,PREVIOUS WEEK DEATHS,0,,,
2017-22,0,CURRENT WEEK DEATHS,0,,,
2017-23,1,PREVIOUS WEEK DEATHS,1,,,
2017-23,1,CURRENT WEEK DEATHS,0,,,
2017-24,0,PREVIOUS WEEK DEATHS,0,,,
2017-24,0,CURRENT WEEK DEATHS,0,,,
2017-25,0,PREVIOUS WEEK DEATHS,0,,,
2017-25,0,CURRENT WEEK DEATHS,0,,,
2017-26,0,PREVIOUS WEEK DEATHS,0,,,
2017-26,0,CURRENT WEEK DEATHS,0,,,
2017-27,0,PREVIOUS WEEK DEATHS,0,,,
2017-27,0,CURRENT WEEK DEATHS,0,,,
2017-28,0,PREVIOUS WEEK DEATHS,0,,,
2017-28,0,CURRENT WEEK DEATHS,0,,,
2017-29,0,PREVIOUS WEEK DEATHS,0,,,
2017-29,0,CURRENT WEEK DEATHS,0,,,
2017-30,0,PREVIOUS WEEK DEATHS,0,,,
2017-30,0,CURRENT WEEK DEATHS,0,,,
2017-31,0,PREVIOUS WEEK DEATHS,0,,,
2017-31,0,CURRENT WEEK DEATHS,0,,,
2017-32,0,PREVIOUS WEEK DEATHS,0,,,
2017-32,0,CURRENT WEEK DEATHS,0,,,
2017-33,1,PREVIOUS WEEK DEATHS,1,,,
2017-33,1,CURRENT WEEK DEATHS,0,,,
2017-34,0,PREVIOUS WEEK DEATHS,0,,,
2017-34,0,CURRENT WEEK DEATHS,0,,,
2017-35,1,PREVIOUS WEEK DEATHS,1,,,
2017-35,1,CURRENT WEEK DEATHS,0,,,
2017-36,0,PREVIOUS WEEK DEATHS,0,,,
2017-36,0,CURRENT WEEK DEATHS,0,,,
2017-37,0,PREVIOUS WEEK DEATHS,0,,,
2017-37,0,CURRENT WEEK DEATHS,0,,,
2017-38,0,PREVIOUS WEEK DEATHS,0,,,
2017-38,0,CURRENT WEEK DEATHS,0,,,
2017-39,0,PREVIOUS WEEK DEATHS,0,,,
2017-39,0,CURRENT WEEK DEATHS,0,,,
2017-40,0,PREVIOUS WEEK DEATHS,0,,,
2017-40,0,CURRENT WEEK DEATHS,0,,,
2017-41,0,PREVIOUS WEEK DEATHS,0,,,
2017-41,0,CURRENT WEEK DEATHS,0,,,
2017-42,1,PREVIOUS WEEK DEATHS,1,,,
2017-42,1,CURRENT WEEK DEATHS,0,,,
2017-43,0,PREVIOUS WEEK DEATHS,0,,,
2017-43,0,CURRENT WEEK DEATHS,0,,,
2017-44,3,PREVIOUS WEEK DEATHS,3,,,
2017-44,3,CURRENT WEEK DEATHS,0,,,
2017-45,2,PREVIOUS WEEK DEATHS,2,,,
2017-45,2,CURRENT WEEK DEATHS,0,,,
2017-46,2,PREVIOUS WEEK DEATHS,2,,,
2017-46,2,CURRENT WEEK DEATHS,0,,,
2017-47,1,PREVIOUS WEEK DEATHS,1,,,
2017-47,1,CURRENT WEEK DEATHS,0,,,
2017-48,0,PREVIOUS WEEK DEATHS,0,,,
2017-48,0,CURRENT WEEK DEATHS,0,,,
2017-49,0,PREVIOUS WEEK DEATHS,0,,,
2017-49,0,CURRENT WEEK DEATHS,0,,,
2017-50,3,PREVIOUS WEEK DEATHS,3,,,
2017-50,3,CURRENT WEEK DEATHS,0,,,
2017-51,8,PREVIOUS WEEK DEATHS,8,,,
