YEARWEEK,TYPE,COUNT,
201840,A_Subtyping_not_Performed,7,
201840,A_H1N1,29,
201840,A_H3,11,
201840,H3N2v,0,
201840,B,0,
201840,BVic,7,
201840,BYam,11,
201841,A_Subtyping_not_Performed,7,
201841,A_H1N1,52,
201841,A_H3,11,
201841,H3N2v,0,
201841,B,5,
201841,BVic,3,
201841,BYam,5,
201842,A_Subtyping_not_Performed,13,
201842,A_H1N1,51,
201842,A_H3,21,
201842,H3N2v,0,
201842,B,1,
201842,BVic,2,
201842,BYam,14,
201843,A_Subtyping_not_Performed,3,
201843,A_H1N1,74,
201843,A_H3,35,
201843,H3N2v,0,
201843,B,3,
201843,BVic,0,
201843,BYam,13,
201844,A_Subtyping_not_Performed,2,
201844,A_H1N1,82,
201844,A_H3,23,
201844,H3N2v,0,
201844,B,1,
201844,BVic,1,
201844,BYam,8,
201845,A_Subtyping_not_Performed,14,
201845,A_H1N1,117,
201845,A_H3,27,
201845,H3N2v,0,
201845,B,4,
201845,BVic,4,
201845,BYam,7,
201846,A_Subtyping_not_Performed,9,
201846,A_H1N1,147,
201846,A_H3,40,
201846,H3N2v,0,
201846,B,0,
201846,BVic,2,
201846,BYam,3,
201847,A_Subtyping_not_Performed,9,
201847,A_H1N1,211,
201847,A_H3,53,
201847,H3N2v,0,
201847,B,1,
201847,BVic,2,
201847,BYam,5,
201848,A_Subtyping_not_Performed,9,
201848,A_H1N1,316,
201848,A_H3,63,
201848,H3N2v,0,
201848,B,1,
201848,BVic,2,
201848,BYam,10,
201849,A_Subtyping_not_Performed,14,
201849,A_H1N1,342,
201849,A_H3,88,
201849,H3N2v,0,
201849,B,7,
201849,BVic,3,
201849,BYam,7,
201850,A_Subtyping_not_Performed,16,
201850,A_H1N1,641,
201850,A_H3,161,
201850,H3N2v,0,
201850,B,3,
201850,BVic,7,
201850,BYam,6,
201851,A_Subtyping_not_Performed,78,
201851,A_H1N1,1024,
201851,A_H3,195,
201851,H3N2v,0,
201851,B,9,
201851,BVic,20,
201851,BYam,7,
201852,A_Subtyping_not_Performed,102,
201852,A_H1N1,1127,
201852,A_H3,222,
201852,H3N2v,0,
201852,B,10,
201852,BVic,18,
201852,BYam,6,
201901,A_Subtyping_not_Performed,161,
201901,A_H1N1,1048,
201901,A_H3,249,
201901,H3N2v,0,
201901,B,6,
201901,BVic,4,
201901,BYam,10,
201902,A_Subtyping_not_Performed,47,
201902,A_H1N1,1278,
201902,A_H3,201,
201902,H3N2v,0,
201902,B,9,
201902,BVic,1,
201902,BYam,11,
201903,A_Subtyping_not_Performed,38,
201903,A_H1N1,1235,
201903,A_H3,291,
201903,H3N2v,0,
201903,B,9,
201903,BVic,13,
201903,BYam,14,
201904,A_Subtyping_not_Performed,46,
201904,A_H1N1,1125,
201904,A_H3,358,
201904,H3N2v,0,
201904,B,12,
201904,BVic,14,
201904,BYam,9,
201905,A_Subtyping_not_Performed,26,
201905,A_H1N1,997,
201905,A_H3,481,
201905,H3N2v,0,
201905,B,8,
201905,BVic,15,
201905,BYam,13,
201906,A_Subtyping_not_Performed,23,
201906,A_H1N1,649,
201906,A_H3,357,
201906,H3N2v,0,
201906,B,7,
201906,BVic,8,
201906,BYam,2,
201907,A_Subtyping_not_Performed,0,
201907,A_H1N1,0,
201907,A_H3,0,
201907,H3N2v,0,
201907,B,0,
201907,BVic,0,
201907,BYam,0,
201908,A_Subtyping_not_Performed,0,
201908,A_H1N1,0,
201908,A_H3,0,
201908,H3N2v,0,
201908,B,0,
201908,BVic,0,
201908,BYam,0,
201909,A_Subtyping_not_Performed,0,
201909,A_H1N1,0,
201909,A_H3,0,
201909,H3N2v,0,
201909,B,0,
201909,BVic,0,
201909,BYam,0,
201910,A_Subtyping_not_Performed,0,
201910,A_H1N1,0,
201910,A_H3,0,
201910,H3N2v,0,
201910,B,0,
201910,BVic,0,
201910,BYam,0,
201911,A_Subtyping_not_Performed,0,
201911,A_H1N1,0,
201911,A_H3,0,
201911,H3N2v,0,
201911,B,0,
201911,BVic,0,
201911,BYam,0,
201912,A_Subtyping_not_Performed,0,
201912,A_H1N1,0,
201912,A_H3,0,
201912,H3N2v,0,
201912,B,0,
201912,BVic,0,
201912,BYam,0,
201913,A_Subtyping_not_Performed,0,
201913,A_H1N1,0,
201913,A_H3,0,
201913,H3N2v,0,
201913,B,0,
201913,BVic,0,
201913,BYam,0,
201914,A_Subtyping_not_Performed,0,
201914,A_H1N1,0,
201914,A_H3,0,
201914,H3N2v,0,
201914,B,0,
201914,BVic,0,
201914,BYam,0,
201915,A_Subtyping_not_Performed,0,
201915,A_H1N1,0,
201915,A_H3,0,
201915,H3N2v,0,
201915,B,0,
201915,BVic,0,
201915,BYam,0,
201916,A_Subtyping_not_Performed,0,
201916,A_H1N1,0,
201916,A_H3,0,
201916,H3N2v,0,
201916,B,0,
201916,BVic,0,
201916,BYam,0,
201917,A_Subtyping_not_Performed,0,
201917,A_H1N1,0,
201917,A_H3,0,
201917,H3N2v,0,
201917,B,0,
201917,BVic,0,
201917,BYam,0,
201918,A_Subtyping_not_Performed,0,
201918,A_H1N1,0,
201918,A_H3,0,
201918,H3N2v,0,
201918,B,0,
201918,BVic,0,
201918,BYam,0,
201919,A_Subtyping_not_Performed,0,
201919,A_H1N1,0,
201919,A_H3,0,
201919,H3N2v,0,
201919,B,0,
201919,BVic,0,
201919,BYam,0,
