YEAR,WEEK,YEARWEEK,TYPE,COUNT
2018,1,201801,BYam,463
2018,1,201801,BVic,45
2018,1,201801,B,165
2018,1,201801,H3N2v,0
2018,1,201801,A (H3),3295
2018,1,201801,A (2009 H1N1),320
2018,1,201801,A (Subtyping not Performed),39
2018,2,201802,BYam,534
2018,2,201802,BVic,42
2018,2,201802,B,163
2018,2,201802,H3N2v,0
2018,2,201802,A (H3),3336
2018,2,201802,A (2009 H1N1),393
2018,2,201802,A (Subtyping not Performed),70
2018,3,201803,BYam,536
2018,3,201803,BVic,47
2018,3,201803,B,189
2018,3,201803,H3N2v,0
2018,3,201803,A (H3),2727
2018,3,201803,A (2009 H1N1),406
2018,3,201803,A (Subtyping not Performed),50
2018,4,201804,BYam,718
2018,4,201804,BVic,58
2018,4,201804,B,231
2018,4,201804,H3N2v,0
2018,4,201804,A (H3),2749
2018,4,201804,A (2009 H1N1),540
2018,4,201804,A (Subtyping not Performed),38
2018,5,201805,BYam,804
2018,5,201805,BVic,91
2018,5,201805,B,306
2018,5,201805,H3N2v,0
2018,5,201805,A (H3),2494
2018,5,201805,A (2009 H1N1),542
2018,5,201805,A (Subtyping not Performed),41
2018,6,201806,BYam,931
2018,6,201806,BVic,113
2018,6,201806,B,329
2018,6,201806,H3N2v,0
2018,6,201806,A (H3),2040
2018,6,201806,A (2009 H1N1),544
2018,6,201806,A (Subtyping not Performed),32
2018,7,201807,BYam,931
2018,7,201807,BVic,115
2018,7,201807,B,251
2018,7,201807,H3N2v,0
2018,7,201807,A (H3),1511
2018,7,201807,A (2009 H1N1),495
2018,7,201807,A (Subtyping not Performed),24
2018,8,201808,BYam,891
2018,8,201808,BVic,116
2018,8,201808,B,245
2018,8,201808,H3N2v,0
2018,8,201808,A (H3),1073
2018,8,201808,A (2009 H1N1),306
2018,8,201808,A (Subtyping not Performed),19
2018,9,201809,BYam,699
2018,9,201809,BVic,88
2018,9,201809,B,204
2018,9,201809,H3N2v,0
2018,9,201809,A (H3),588
2018,9,201809,A (2009 H1N1),246
2018,9,201809,A (Subtyping not Performed),12
2018,10,201810,BYam,646
2018,10,201810,BVic,88
2018,10,201810,B,172
2018,10,201810,H3N2v,0
2018,10,201810,A (H3),411
2018,10,201810,A (2009 H1N1),144
2018,10,201810,A (Subtyping not Performed),25
2018,11,201811,BYam,542
2018,11,201811,BVic,70
2018,11,201811,B,174
2018,11,201811,H3N2v,0
2018,11,201811,A (H3),277
2018,11,201811,A (2009 H1N1),188
2018,11,201811,A (Subtyping not Performed),25
2018,12,201812,BYam,467
2018,12,201812,BVic,52
2018,12,201812,B,129
2018,12,201812,H3N2v,0
2018,12,201812,A (H3),234
2018,12,201812,A (2009 H1N1),120
2018,12,201812,A (Subtyping not Performed),10
2018,13,201813,BYam,455
2018,13,201813,BVic,62
2018,13,201813,B,107
2018,13,201813,H3N2v,0
2018,13,201813,A (H3),220
2018,13,201813,A (2009 H1N1),132
2018,13,201813,A (Subtyping not Performed),8
2018,14,201814,BYam,405
2018,14,201814,BVic,54
2018,14,201814,B,72
2018,14,201814,H3N2v,0
2018,14,201814,A (H3),163
2018,14,201814,A (2009 H1N1),120
2018,14,201814,A (Subtyping not Performed),7
2018,15,201815,BYam,297
2018,15,201815,BVic,40
2018,15,201815,B,54
2018,15,201815,H3N2v,0
2018,15,201815,A (H3),102
2018,15,201815,A (2009 H1N1),101
2018,15,201815,A (Subtyping not Performed),2
2018,16,201816,BYam,211
2018,16,201816,BVic,43
2018,16,201816,B,45
2018,16,201816,H3N2v,0
2018,16,201816,A (H3),86
2018,16,201816,A (2009 H1N1),51
2018,16,201816,A (Subtyping not Performed),0
2018,17,201817,BYam,138
2018,17,201817,BVic,28
2018,17,201817,B,53
2018,17,201817,H3N2v,0
2018,17,201817,A (H3),53
2018,17,201817,A (2009 H1N1),56
2018,17,201817,A (Subtyping not Performed),1
2018,18,201818,BYam,137
2018,18,201818,BVic,14
2018,18,201818,B,23
2018,18,201818,H3N2v,0
2018,18,201818,A (H3),31
2018,18,201818,A (2009 H1N1),40
2018,18,201818,A (Subtyping not Performed),2
2018,19,201819,BYam,68
2018,19,201819,BVic,6
2018,19,201819,B,8
2018,19,201819,H3N2v,0
2018,19,201819,A (H3),20
2018,19,201819,A (2009 H1N1),16
2018,19,201819,A (Subtyping not Performed),0
2018,20,201820,BYam,27
2018,20,201820,BVic,6
2018,20,201820,B,10
2018,20,201820,H3N2v,0
2018,20,201820,A (H3),10
2018,20,201820,A (2009 H1N1),16
2018,20,201820,A (Subtyping not Performed),0
2018,21,201821,BYam,20
2018,21,201821,BVic,4
2018,21,201821,B,8
2018,21,201821,H3N2v,0
2018,21,201821,A (H3),6
2018,21,201821,A (2009 H1N1),18
2018,21,201821,A (Subtyping not Performed),0
2018,22,201822,BYam,11
2018,22,201822,BVic,2
2018,22,201822,B,2
2018,22,201822,H3N2v,0
2018,22,201822,A (H3),5
2018,22,201822,A (2009 H1N1),8
2018,22,201822,A (Subtyping not Performed),0
2018,23,201823,BYam,9
2018,23,201823,BVic,3
2018,23,201823,B,3
2018,23,201823,H3N2v,0
2018,23,201823,A (H3),3
2018,23,201823,A (2009 H1N1),7
2018,23,201823,A (Subtyping not Performed),0
2018,24,201824,BYam,8
2018,24,201824,BVic,3
2018,24,201824,B,2
2018,24,201824,H3N2v,0
2018,24,201824,A (H3),3
2018,24,201824,A (2009 H1N1),6
2018,24,201824,A (Subtyping not Performed),0
2018,25,201825,BYam,6
2018,25,201825,BVic,3
2018,25,201825,B,0
